,Year,State,FIPS,18_or_Older_AMI_Total,Tot_Cases,Toth_Deaths,<High School,High School,Some college or associates degree,Bachelors degree or higher,Employed_2017,Unemployed_2017,Employed_2018,Unemployed_2018,Employed_2019,Unemployed_2019,Employed_2020,Unemployed_2020,Employed_2021,Unemployed_2021,Median_Household_Income_2020
116,2018,Missouri,29,678000,0,0,393045,1275987,1257176,1250584,2939306,114220,2949910,95955,2976643,95430,2853353,183809,2928368,134081,58812
117,2019,Missouri,29,828000,0,0,393045,1275987,1257176,1250584,2939306,114220,2949910,95955,2976643,95430,2853353,183809,2928368,134081,58812
118,2020,Missouri,29,993000,449569,6856,393045,1275987,1257176,1250584,2939306,114220,2949910,95955,2976643,95430,2853353,183809,2928368,134081,58812
119,2021,Missouri,29,1056000,1006913,16074,393045,1275987,1257176,1250584,2939306,114220,2949910,95955,2976643,95430,2853353,183809,2928368,134081,58812
120,2017,Montana,30,154000,0,0,44228,206206,240758,243496,506871,21570,513858,19963,522898,19381,511616,31301,531202,18541,57730
121,2018,Montana,30,636000,0,0,44228,206206,240758,243496,506871,21570,513858,19963,522898,19381,511616,31301,531202,18541,57730
122,2019,Montana,30,164000,0,0,44228,206206,240758,243496,506871,21570,513858,19963,522898,19381,511616,31301,531202,18541,57730
123,2020,Montana,30,163000,81555,961,44228,206206,240758,243496,506871,21570,513858,19963,522898,19381,511616,31301,531202,18541,57730
124,2021,Montana,30,171000,197724,2906,44228,206206,240758,243496,506871,21570,513858,19963,522898,19381,511616,31301,531202,18541,57730
125,2017,Nebraska,31,251000,0,0,106184,324098,419943,409315,992740,30423,1004261,29953,1016904,31916,1001426,43115,1022662,26371,64735
126,2018,Nebraska,31,1441000,0,0,106184,324098,419943,409315,992740,30423,1004261,29953,1016904,31916,1001426,43115,1022662,26371,64735
127,2019,Nebraska,31,258000,0,0,106184,324098,419943,409315,992740,30423,1004261,29953,1016904,31916,1001426,43115,1022662,26371,64735
128,2020,Nebraska,31,257000,167233,1651,106184,324098,419943,409315,992740,30423,1004261,29953,1016904,31916,1001426,43115,1022662,26371,64735
129,2021,Nebraska,31,290000,342939,3341,106184,324098,419943,409315,992740,30423,1004261,29953,1016904,31916,1001426,43115,1022662,26371,64735
130,2017,Nevada,32,392000,0,0,273999,584698,702126,532997,1372022,72240,1427371,65460,1479777,61995,1299640,203208,1395939,108822,64608
